mode,batch,context_len,repeat,prefill_ms,decode_ms_per_token,decode_tokens_per_sec
quarot_unfused,1,10,0,64.22980244954427,114.56097412109375,8.728976055519356
quarot_unfused,1,10,1,72.26930236816406,124.07379150390625,8.059719847994785
quarot_unfused,1,10,2,79.96178181966145,113.4021504720052,8.818174927351691
quarot_unfused,1,128,0,77.52665710449219,112.08774820963542,8.921581671260988
quarot_unfused,1,128,1,80.50306701660156,119.79073079427083,8.347891304857342
quarot_unfused,1,128,2,84.91432698567708,116.61683146158855,8.575091498086035
quarot_unfused,1,1024,0,225.7214558919271,113.08237711588542,8.843110885219652
quarot_unfused,1,1024,1,225.9552205403646,111.70590209960938,8.952078459634917
quarot_unfused,1,1024,2,225.9371337890625,112.25789388020833,8.908059517552603
quarot_unfused,1,4096,0,891.8485514322916,118.74551391601562,8.421370770328751
quarot_unfused,1,4096,1,891.17236328125,114.26695760091145,8.751436294406279
quarot_unfused,1,4096,2,1193.9671223958333,118.4817606608073,8.440117655432436
quarot_unfused,2,10,0,69.48135375976562,134.00763956705728,14.924522262025233
quarot_unfused,2,10,1,69.29041544596355,147.02217610677084,13.60338999844183
quarot_unfused,2,10,2,68.43498229980469,122.05130004882812,16.386552205506007
quarot_unfused,2,128,0,90.1228739420573,119.50309244791667,16.735968576475667
quarot_unfused,2,128,1,90.90096028645833,110.96910603841145,18.023034260614022
quarot_unfused,2,128,2,90.34495035807292,124.58791097005208,16.052921863990093
quarot_unfused,2,1024,0,381.3494059244792,119.16896565755208,16.782893003764645
quarot_unfused,2,1024,1,381.1939290364583,113.72006225585938,17.587046298833265
quarot_unfused,2,1024,2,381.8269449869792,118.4379170735677,16.88648407044933
quarot_unfused,2,4096,0,1737.3592122395833,133.05323282877603,15.03157764361702
quarot_unfused,2,4096,1,1739.4851888020833,133.11393229166666,15.024723299570095
quarot_unfused,2,4096,2,1743.66552734375,133.59457397460938,14.970667898384216
quarot_unfused,4,10,0,76.00877380371094,143.34758504231772,27.90420221463206
quarot_unfused,4,10,1,70.04250590006511,125.030517578125,31.992189406883085
quarot_unfused,4,10,2,72.30702718098958,132.97954305013022,30.079814595934447
quarot_unfused,4,128,0,125.28302001953125,115.30787150065105,34.68973928616327
quarot_unfused,4,128,1,125.18702189127605,120.0316162109375,33.32455336576158
quarot_unfused,4,128,2,125.352783203125,122.01736450195312,32.782219287616
quarot_unfused,4,1024,0,761.673095703125,134.42981974283853,29.755302861016382
quarot_unfused,4,1024,1,760.7259114583334,119.61288452148438,33.441213427818774
quarot_unfused,4,1024,2,760.8907063802084,115.53357950846355,34.621968929015786
quarot_unfused,4,4096,0,3545.2610677083335,184.3736775716146,21.69507086197983
quarot_unfused,4,4096,1,3549.8264973958335,184.35986328125,21.69669649785867
quarot_unfused,4,4096,2,3549.2135416666665,184.18257649739584,21.7175808703955
quarot_unfused,8,10,0,86.9020487467448,121.9523213704427,65.5994072937667
quarot_unfused,8,10,1,83.3909403483073,115.39651489257812,69.32618378854117
quarot_unfused,8,10,2,85.40475463867188,112.43381754557292,71.15296958370512
quarot_unfused,8,128,0,218.57539876302084,153.1291300455729,52.24348886210685
quarot_unfused,8,128,1,219.1191609700521,111.37015787760417,71.83252814270051
quarot_unfused,8,128,2,219.35302734375,131.9221394856771,60.64183033408556
quarot_unfused,8,1024,0,1469.11767578125,133.99653116861978,59.70303805799933
quarot_unfused,8,1024,1,1468.8474934895833,132.61233520507812,60.3262131507481
quarot_unfused,8,1024,2,1469.7609049479167,132.35478719075522,60.4436013974324
quarot_unfused,8,4096,0,7286.221354166667,298.61232503255206,26.790588764639608
quarot_unfused,8,4096,1,7285.630859375,298.306884765625,26.818019994025526
quarot_unfused,8,4096,2,7286.577473958333,297.937255859375,26.851291144924698
