variant,batch,context_len,block,minimum_semantic_bytes_all_layers,stage_ms_per_token,effective_minimum_bandwidth_GBps
fused_current,1,128,K1,165888,0.9243539950499932,0.17946371291555682
fused_current,1,128,K2,4491264.0,1.0328373331576586,4.348471783324302
fused_current,1,128,K3,657408.0,1.2270563344160716,0.5357602430803192
fused_current,1,128,FFN,3218432.0,0.27937299975504476,11.520197022697014
fused_current,1,4096,K1,165888,0.9438436614970366,0.17575792132447438
fused_current,1,4096,K2,142641152.0,8.085067316889763,17.64254351995581
fused_current,1,4096,K3,657408.0,0.26328399932632846,2.496953866099447
fused_current,1,4096,FFN,3218432.0,0.27213466602067155,11.826615282286474
fused_current,4,1024,K1,663552,0.9563383345181743,0.6938464934947035
fused_current,4,1024,K2,142745600.0,2.4761523405710855,57.64814937318355
fused_current,4,1024,K3,2629632.0,0.589248332194984,4.462688914543838
fused_current,4,1024,FFN,12873728.0,0.28584966404984397,45.03670851876598
fused_hadacore256,1,128,K1,165888,0.9734016697232922,0.17042091169533002
fused_hadacore256,1,128,K2,4491264.0,1.038841001689434,4.323341100992357
fused_hadacore256,1,128,K3,657408.0,1.2487466692303617,0.5264542570553397
fused_hadacore256,1,128,FFN,3218432.0,0.2996743318314354,10.73976533235534
fused_hadacore256,1,4096,K1,165888,0.9284869991242886,0.17866486031194714
fused_hadacore256,1,4096,K2,142641152.0,8.104793379704157,17.599603755130733
fused_hadacore256,1,4096,K3,657408.0,0.2554443352855742,2.573586136741103
fused_hadacore256,1,4096,FFN,3218432.0,0.2960996649538477,10.86942128253218
fused_hadacore256,4,1024,K1,663552,0.9500253396108747,0.6984571593340736
fused_hadacore256,4,1024,K2,142745600.0,2.4833433255553246,57.48121837647208
fused_hadacore256,4,1024,K3,2629632.0,0.3594340017686288,7.316035731346084
fused_hadacore256,4,1024,FFN,12873728.0,0.3026773339758317,42.532844567171814
unfused_INT4,1,128,K1,165888,36.93663430213928,0.004491150943614594
unfused_INT4,1,128,K2,38307840.0,7.237784679979086,5.292757617667992
unfused_INT4,1,128,K3,657408.0,18.543749655286472,0.035451729678230716
unfused_INT4,1,128,FFN,3218432.0,8.379095335801443,0.38410256370381346
unfused_INT4,1,4096,K1,165888,36.40176270405451,0.0045571419535000435
unfused_INT4,1,4096,K2,1216645120.0,30.826836715141933,39.46707640626624
unfused_INT4,1,4096,K3,657408.0,8.130762974421183,0.08085440469340455
unfused_INT4,1,4096,FFN,3218432.0,8.261597335338593,0.3895653430400571
unfused_INT4,4,1024,K1,663552,36.4760248263677,0.018191455981254108
unfused_INT4,4,1024,K2,1217536000.0,25.437075657149155,47.864621563045446
unfused_INT4,4,1024,K3,2629632.0,8.044513339797655,0.32688515624565345
unfused_INT4,4,1024,FFN,12873728.0,8.470527360836664,1.5198260334440872
