variant,batch,context_len,category,total_ms_per_token,percent_of_stage_sum,saved_ms_vs_unfused_INT4,plain_ms_per_token,instrumented_ms_per_token,instrumentation_overhead_percent
fused_current,1,128,attention,4.604114665960273,7.895530842488066,0.47204666025936515,41.23153940836588,104.5892842610677,153.6633018359885
fused_current,1,128,norm_residual,4.43508667871356,7.605667148080761,-0.32046768565972616,41.23153940836588,104.5892842610677,153.6633018359885
fused_current,1,128,other,0.15389633054534593,0.26391463126452935,0.020704335222641645,41.23153940836588,104.5892842610677,153.6633018359885
fused_current,1,128,projection,39.26071669207886,67.32764538474885,3.8886301635454217,41.23153940836588,104.5892842610677,153.6633018359885
fused_current,1,128,quantization,9.859106673859058,16.907241993417763,69.18666058996072,41.23153940836588,104.5892842610677,153.6633018359885
fused_hadacore256,1,128,attention,4.515353335688511,7.837636733013168,0.560807990531127,41.438245137532554,64.20567830403645,54.94304377740738
fused_hadacore256,1,128,norm_residual,4.334268340220054,7.5233139532069035,-0.21964934716621975,41.438245137532554,64.20567830403645,54.94304377740738
fused_hadacore256,1,128,other,0.13216267029444376,0.22940463844672593,0.04243799547354382,41.438245137532554,64.20567830403645,54.94304377740738
fused_hadacore256,1,128,projection,38.70346369470159,67.18049866681811,4.4458831609226905,41.438245137532554,64.20567830403645,54.94304377740738
fused_hadacore256,1,128,quantization,9.925910647648076,17.22914600851511,69.1198566161717,41.438245137532554,64.20567830403645,54.94304377740738
unfused_INT4,1,128,attention,5.076161326219638,3.8584237024861787,0.0,113.9019775390625,139.62942504882812,22.5873580649137
unfused_INT4,1,128,norm_residual,4.114618993053834,3.127549033458713,0.0,113.9019775390625,139.62942504882812,22.5873580649137
unfused_INT4,1,128,other,0.17460066576798758,0.13271511758094215,0.0,113.9019775390625,139.62942504882812,22.5873580649137
unfused_INT4,1,128,projection,43.14934685562428,32.7981031246158,0.0,113.9019775390625,139.62942504882812,22.5873580649137
unfused_INT4,1,128,quantization,79.04576726381978,60.08320902185837,0.0,113.9019775390625,139.62942504882812,22.5873580649137
fused_current,1,4096,attention,11.657643992453814,19.498111398273064,2.4928523525595665,48.71363830566406,64.7475077311198,32.9145388912399
fused_current,1,4096,norm_residual,4.2603636632363004,7.125714711884156,-1.860038661708435,48.71363830566406,64.7475077311198,32.9145388912399
fused_current,1,4096,other,0.15582300225893655,0.2606233522335055,-0.10708866889278093,48.71363830566406,64.7475077311198,32.9145388912399
fused_current,1,4096,projection,38.32639567585041,64.10320411789526,0.5654503336797205,48.71363830566406,64.7475077311198,32.9145388912399
fused_current,1,4096,quantization,5.38835397704194,9.012346419713992,72.3197560797756,48.71363830566406,64.7475077311198,32.9145388912399
fused_hadacore256,1,4096,attention,11.593496051927406,19.44713578756738,2.5570002930859737,48.5106455485026,64.51753743489583,32.996658167306784
fused_hadacore256,1,4096,norm_residual,4.113824675480525,6.900602433639058,-1.7134996739526596,48.5106455485026,64.51753743489583,32.996658167306784
fused_hadacore256,1,4096,other,0.15837966899077097,0.2656688642544063,-0.10964533562461534,48.5106455485026,64.51753743489583,32.996658167306784
fused_hadacore256,1,4096,projection,38.34960777180579,64.32831187398988,0.5422382377243338,48.5106455485026,64.51753743489583,32.996658167306784
fused_hadacore256,1,4096,quantization,5.4001343245618045,9.058281040549272,72.30797573225574,48.5106455485026,64.51753743489583,32.996658167306784
unfused_INT4,1,4096,attention,14.15049634501338,10.62353469581034,0.0,113.17501831054688,138.2750040690104,22.1780266821697
unfused_INT4,1,4096,norm_residual,2.4003250015278654,1.802052402489644,0.0,113.17501831054688,138.2750040690104,22.1780266821697
unfused_INT4,1,4096,other,0.048734333366155624,0.03658747147586732,0.0,113.17501831054688,138.2750040690104,22.1780266821697
unfused_INT4,1,4096,projection,38.89184600953013,29.19818961770599,0.0,113.17501831054688,138.2750040690104,22.1780266821697
unfused_INT4,1,4096,quantization,77.70811005681755,58.33963581251815,0.0,113.17501831054688,138.2750040690104,22.1780266821697
fused_current,4,1024,attention,6.318398337811232,10.553179687922688,0.3393903262913227,43.70495096842448,66.14151509602864,51.336435873853084
fused_current,4,1024,norm_residual,4.590189666797717,7.666673382315248,-1.34534066542983,43.70495096842448,66.14151509602864,51.336435873853084
fused_current,4,1024,other,0.17262999837597212,0.288331835852332,-0.1213356653849284,43.70495096842448,66.14151509602864,51.336435873853084
fused_current,4,1024,projection,39.561691682940975,66.07713201458269,2.1278926972299743,43.70495096842448,66.14151509602864,51.336435873853084
fused_current,4,1024,quantization,9.229077001102269,15.414683079327041,71.62722518201919,43.70495096842448,66.14151509602864,51.336435873853084
fused_hadacore256,4,1024,attention,5.811039661367735,9.89805171229268,0.8467490027348195,43.86263529459635,64.94475809733073,48.06396756861435
fused_hadacore256,4,1024,norm_residual,4.678092340628306,7.968281512558251,-1.4332433392604194,43.86263529459635,64.94475809733073,48.06396756861435
fused_hadacore256,4,1024,other,0.16542633126179376,0.2817737404701695,-0.11413199827075005,43.86263529459635,64.94475809733073,48.06396756861435
fused_hadacore256,4,1024,projection,39.409202371258296,67.1264258621685,2.280382008912653,43.86263529459635,64.94475809733073,48.06396756861435
fused_hadacore256,4,1024,quantization,8.645163337079188,14.725467172510406,72.21113884604227,43.86263529459635,64.94475809733073,48.06396756861435
unfused_INT4,4,1024,attention,6.657788664102554,5.0247530422085624,0.0,108.68113199869792,138.06779988606772,27.03934652403314
unfused_INT4,4,1024,norm_residual,3.244849001367887,2.448945995994378,0.0,108.68113199869792,138.06779988606772,27.03934652403314
unfused_INT4,4,1024,other,0.051294332991043724,0.038712757155314206,0.0,108.68113199869792,138.06779988606772,27.03934652403314
unfused_INT4,4,1024,projection,41.68958438017095,31.463880352968765,0.0,108.68113199869792,138.06779988606772,27.03934652403314
unfused_INT4,4,1024,quantization,80.85630218312146,61.023707851672974,0.0,108.68113199869792,138.06779988606772,27.03934652403314
