workload,category,calls_per_token,kernel_sum_ms_per_token,percent_of_kernel_sum
fused_current_B1_L128,FFN,32.0,0.09470466666666666,0.24498672437433638
fused_current_B1_L128,K1,32.0,0.1703313333333333,0.440621533028783
fused_current_B1_L128,K2_INT4,32.0,0.411024,1.063257249546702
fused_current_B1_L128,K3,32.0,0.089234,0.23083493276803888
fused_current_B1_L128,PyTorch_elementwise_copy_reduce,1809.0,5.314523333333333,13.74787229468783
fused_current_B1_L128,other,1.0,0.003637333333333333,0.009409234097484667
fused_current_B1_L128,rocBLAS_GEMM,226.0,32.573606,84.26301803149683
fused_current_B1_L4096,FFN,32.0,0.09521266666666667,0.20696737160162001
fused_current_B1_L4096,K1,32.0,0.16515333333333335,0.35900004177924033
fused_current_B1_L4096,K2_INT4,32.0,8.001494666666668,17.393151331871607
fused_current_B1_L4096,K3,32.0,0.08743333333333332,0.19005714075544894
fused_current_B1_L4096,PyTorch_elementwise_copy_reduce,1809.0,4.932934,10.722905050423254
fused_current_B1_L4096,other,1.0,0.003636,0.007903710603737846
fused_current_B1_L4096,rocBLAS_GEMM,226.0,32.717844666666664,71.1200153529651
fused_current_B4_L1024,FFN,32.0,0.110684,0.2627867811154967
fused_current_B4_L1024,K1,32.0,0.173172,0.41114625835109675
fused_current_B4_L1024,K2_INT4,32.0,2.2789786666666667,5.4107682053794575
fused_current_B4_L1024,K3,32.0,0.08662399999999999,0.20566334905992542
fused_current_B4_L1024,PyTorch_elementwise_copy_reduce,1809.0,6.160515333333334,14.626341607272305
fused_current_B4_L1024,other,1.0,0.004991333333333333,0.011850460953174345
fused_current_B4_L1024,rocBLAS_GEMM,226.0,33.30435266666667,79.07144333786854
fused_hadacore256_B1_L128,FFN,32.0,0.11781399999999999,0.30066378061467974
fused_hadacore256_B1_L128,K1,32.0,0.20457866666666666,0.5220890161874681
fused_hadacore256_B1_L128,K2_INT4,32.0,0.47591466666666665,1.214544136774705
fused_hadacore256_B1_L128,K3,32.0,0.08613933333333333,0.21982937188812962
fused_hadacore256_B1_L128,PyTorch_elementwise_copy_reduce,1809.0,5.720522,14.598891232022076
fused_hadacore256_B1_L128,other,1.0,0.008875333333333334,0.022650035430555687
fused_hadacore256_B1_L128,rocBLAS_GEMM,226.0,32.57078933333333,83.12133242708238
fused_hadacore256_B1_L4096,FFN,32.0,0.12444733333333334,0.2676311103334059
fused_hadacore256_B1_L4096,K1,32.0,0.34925999999999996,0.7511036121977598
fused_hadacore256_B1_L4096,K2_INT4,32.0,8.042092,17.29497895787295
fused_hadacore256_B1_L4096,K3,32.0,0.08296666666666667,0.17842456343509364
fused_hadacore256_B1_L4096,PyTorch_elementwise_copy_reduce,1809.0,5.006228,10.766179735113
fused_hadacore256_B1_L4096,other,1.0,0.007027333333333333,0.015112682387861166
fused_hadacore256_B1_L4096,rocBLAS_GEMM,226.0,32.88755533333333,70.72656933865993
fused_hadacore256_B4_L1024,FFN,32.0,0.13109466666666666,0.31963165492173695
fused_hadacore256_B4_L1024,K1,32.0,0.18219733333333332,0.4442288664857509
fused_hadacore256_B4_L1024,K2_INT4,32.0,2.270578,5.536065060634714
fused_hadacore256_B4_L1024,K3,32.0,0.08510933333333333,0.20751139427959758
fused_hadacore256_B4_L1024,PyTorch_elementwise_copy_reduce,1809.0,5.316090666666667,12.961555955752077
fused_hadacore256_B4_L1024,other,1.0,0.005084666666666667,0.012397303892800561
fused_hadacore256_B4_L1024,rocBLAS_GEMM,226.0,33.02413933333333,80.51860976403333
unfused_INT4_B1_L128,K2_FP16,32.0,0.5872366666666667,0.7610429833358409
unfused_INT4_B1_L128,PyTorch_elementwise_copy_reduce,10737.0,42.591059333333334,55.19687154833737
unfused_INT4_B1_L128,other,1.0,0.003606,0.004673279367050835
unfused_INT4_B1_L128,rocBLAS_GEMM,226.0,33.98018733333333,44.037412188959735
unfused_INT4_B1_L4096,K2_FP16,32.0,10.839235333333333,10.606285040352358
unfused_INT4_B1_L4096,PyTorch_elementwise_copy_reduce,10737.0,57.017272,55.79189125966955
unfused_INT4_B1_L4096,other,1.0,0.0037613333333333335,0.0036804970312277257
unfused_INT4_B1_L4096,rocBLAS_GEMM,226.0,34.33607333333333,33.598143202946865
unfused_INT4_B4_L1024,K2_FP16,32.0,2.8605626666666666,2.9794115730815856
unfused_INT4_B4_L1024,PyTorch_elementwise_copy_reduce,10736.666666666666,58.417356000000005,60.84444454350717
unfused_INT4_B4_L1024,other,1.0,0.005226000000000001,0.005443126648600263
unfused_INT4_B4_L1024,rocBLAS_GEMM,226.0,34.72784933333333,36.17070075676264
