session,repeat,variant,batch,context_len,warmup,iterations,decode_ms_per_token,tokens_per_second
0,0,unfused_INT4,1,10,10,50,110.024599609375,9.088876519890482
0,1,unfused_INT4,1,10,10,50,109.71134765625,9.114827420890151
0,2,unfused_INT4,1,10,10,50,110.13169921875,9.080037873689225
0,3,unfused_INT4,1,10,10,50,109.91966796875,9.097552953710691
0,4,unfused_INT4,1,10,10,50,109.585224609375,9.125317793202298
0,0,fused_current,1,10,10,50,40.3895166015625,24.758899935962944
0,1,fused_current,1,10,10,50,40.4362890625,24.730261435572356
0,2,fused_current,1,10,10,50,40.40156494140625,24.751516468490372
0,3,fused_current,1,10,10,50,40.37232666015625,24.769441910488343
0,4,fused_current,1,10,10,50,40.419150390625,24.74074764896455
0,0,fused_hadacore256,1,10,10,50,40.4025732421875,24.750898760968557
0,1,fused_hadacore256,1,10,10,50,40.4234912109375,24.73809089823066
0,2,fused_hadacore256,1,10,10,50,40.440625,24.727609921953484
0,3,fused_hadacore256,1,10,10,50,40.40906005859375,24.746925529818927
0,4,fused_hadacore256,1,10,10,50,40.41726318359375,24.741902870997013
0,0,unfused_INT4,1,128,10,50,110.38203125,9.059445533622576
0,1,unfused_INT4,1,128,10,50,109.085009765625,9.167162400668557
0,2,unfused_INT4,1,128,10,50,109.329248046875,9.146683233120283
0,3,unfused_INT4,1,128,10,50,110.36171875,9.061112959515231
0,4,unfused_INT4,1,128,10,50,109.679248046875,9.117495039468336
0,0,fused_current,1,128,10,50,40.61095458984375,24.623897913743857
0,1,fused_current,1,128,10,50,40.610498046875,24.62417473545244
0,2,fused_current,1,128,10,50,40.6180029296875,24.61962499069852
0,3,fused_current,1,128,10,50,40.65732421875,24.59581438807103
0,4,fused_current,1,128,10,50,40.64782958984375,24.601559544272927
0,0,fused_hadacore256,1,128,10,50,40.6325048828125,24.610838118006328
0,1,fused_hadacore256,1,128,10,50,40.6387158203125,24.607076769393604
0,2,fused_hadacore256,1,128,10,50,40.64625732421875,24.60251117399087
0,3,fused_hadacore256,1,128,10,50,40.67076416015625,24.587686527406476
0,4,fused_hadacore256,1,128,10,50,40.691923828125,24.574901010426814
0,0,unfused_INT4,1,1024,10,50,110.99970703125,9.009032787072742
0,1,unfused_INT4,1,1024,10,50,111.1734765625,8.994951232255614
0,2,unfused_INT4,1,1024,10,50,109.226083984375,9.155322277626029
0,3,unfused_INT4,1,1024,10,50,110.512568359375,9.048744544132822
0,4,unfused_INT4,1,1024,10,50,110.085283203125,9.083866352551773
0,0,fused_current,1,1024,10,50,43.09203125,23.20614672811461
0,1,fused_current,1,1024,10,50,42.30654296875,23.637005763828455
0,2,fused_current,1,1024,10,50,42.325009765625,23.6266927175565
0,3,fused_current,1,1024,10,50,42.2769873046875,23.65353029517134
0,4,fused_current,1,1024,10,50,42.2594775390625,23.663330884193993
0,0,fused_hadacore256,1,1024,10,50,46.5318603515625,21.49065161901314
0,1,fused_hadacore256,1,1024,10,50,42.303994140625,23.63842990039772
0,2,fused_hadacore256,1,1024,10,50,42.32662109375,23.625793275231725
0,3,fused_hadacore256,1,1024,10,50,42.30603515625,23.63728948616134
0,4,fused_hadacore256,1,1024,10,50,42.3588134765625,23.607837848274684
0,0,unfused_INT4,1,4096,10,50,108.686796875,9.20074957356682
0,1,unfused_INT4,1,4096,10,50,110.2536328125,9.069995922044802
0,2,unfused_INT4,1,4096,10,50,109.019033203125,9.172710219662223
0,3,unfused_INT4,1,4096,10,50,109.886640625,9.100287298913866
0,4,unfused_INT4,1,4096,10,50,109.551669921875,9.128112795661936
0,0,fused_current,1,4096,10,50,48.0706494140625,20.802714591733015
0,1,fused_current,1,4096,10,50,48.0762353515625,20.80029754175624
0,2,fused_current,1,4096,10,50,48.0387890625,20.816511396633416
0,3,fused_current,1,4096,10,50,48.0492529296875,20.81197810636811
0,4,fused_current,1,4096,10,50,48.0903271484375,20.794202478876063
0,0,fused_hadacore256,1,4096,10,50,48.0827685546875,20.797471319951935
0,1,fused_hadacore256,1,4096,10,50,48.0510546875,20.81119772507595
0,2,fused_hadacore256,1,4096,10,50,48.1428759765625,20.771505227208117
0,3,fused_hadacore256,1,4096,10,50,48.0986474609375,20.79060540760804
0,4,fused_hadacore256,1,4096,10,50,48.0682177734375,20.80376694458183
0,0,unfused_INT4,2,10,10,50,109.88009765625,18.20165837726883
0,1,unfused_INT4,2,10,10,50,109.322021484375,18.294575720829062
0,2,unfused_INT4,2,10,10,50,109.3751953125,18.28568163271137
0,3,unfused_INT4,2,10,10,50,110.427744140625,18.11139053472908
0,4,unfused_INT4,2,10,10,50,109.69232421875,18.232816327344576
0,0,fused_current,2,10,10,50,40.80744140625,49.01066891426531
0,1,fused_current,2,10,10,50,40.81037353515625,49.007147613512835
0,2,fused_current,2,10,10,50,40.8044873046875,49.014217114553624
0,3,fused_current,2,10,10,50,40.83084228515625,48.98258003183748
0,4,fused_current,2,10,10,50,40.78849365234375,49.03343617067059
0,0,fused_hadacore256,2,10,10,50,40.8350048828125,48.97758689486045
0,1,fused_hadacore256,2,10,10,50,40.80864501953125,49.00922338986724
0,2,fused_hadacore256,2,10,10,50,40.8149755859375,49.001621862762676
0,3,fused_hadacore256,2,10,10,50,40.79881591796875,49.02103051277901
0,4,fused_hadacore256,2,10,10,50,40.85828857421875,48.94967630293707
0,0,unfused_INT4,2,128,10,50,108.82724609375,18.37775071765655
0,1,unfused_INT4,2,128,10,50,110.8083203125,18.049186147390643
0,2,unfused_INT4,2,128,10,50,109.729345703125,18.22666477398891
0,3,unfused_INT4,2,128,10,50,109.042783203125,18.341424725691365
0,4,unfused_INT4,2,128,10,50,110.049521484375,18.173636495856666
0,0,fused_current,2,128,10,50,40.8794970703125,48.92428095580558
0,1,fused_current,2,128,10,50,40.879345703125,48.92446211161132
0,2,fused_current,2,128,10,50,40.8634619140625,48.94347924329271
0,3,fused_current,2,128,10,50,40.891123046875,48.91037102862952
0,4,fused_current,2,128,10,50,40.87127197265625,48.93412667308329
0,0,fused_hadacore256,2,128,10,50,41.0224462890625,48.75379654121809
0,1,fused_hadacore256,2,128,10,50,41.030302734375,48.74446120828666
0,2,fused_hadacore256,2,128,10,50,41.015107421875,48.76252009846791
0,3,fused_hadacore256,2,128,10,50,41.0036767578125,48.77611370836242
0,4,fused_hadacore256,2,128,10,50,41.0232763671875,48.75281004126968
0,0,unfused_INT4,2,1024,10,50,110.375361328125,18.119985981784282
0,1,unfused_INT4,2,1024,10,50,110.316083984375,18.129722591342862
0,2,unfused_INT4,2,1024,10,50,110.726748046875,18.06248296168981
0,3,unfused_INT4,2,1024,10,50,110.521767578125,18.095982753680186
0,4,unfused_INT4,2,1024,10,50,109.16193359375,18.321405037062377
0,0,fused_current,2,1024,10,50,42.4854736328125,47.07491358776696
0,1,fused_current,2,1024,10,50,42.4830078125,47.07764593380626
0,2,fused_current,2,1024,10,50,42.5001416015625,47.058666739276724
0,3,fused_current,2,1024,10,50,42.487470703125,47.07270089045093
0,4,fused_current,2,1024,10,50,44.733701171875,44.709021333057976
0,0,fused_hadacore256,2,1024,10,50,42.491748046875,47.06796241457727
0,1,fused_hadacore256,2,1024,10,50,42.5139990234375,47.04332798468152
0,2,fused_hadacore256,2,1024,10,50,42.513251953125,47.04415466041494
0,3,fused_hadacore256,2,1024,10,50,42.4953369140625,47.06398737453386
0,4,fused_hadacore256,2,1024,10,50,42.5155419921875,47.04162069408671
0,0,unfused_INT4,2,4096,10,50,131.81833984375,15.172395604213243
0,1,unfused_INT4,2,4096,10,50,131.75826171875,15.179313797180948
0,2,unfused_INT4,2,4096,10,50,131.7496875,15.180301661057072
0,3,unfused_INT4,2,4096,10,50,131.781728515625,15.176610767879446
0,4,unfused_INT4,2,4096,10,50,131.8014453125,15.174340427436276
0,0,fused_current,2,4096,10,50,48.2414501953125,41.45812349966077
0,1,fused_current,2,4096,10,50,48.241044921875,41.45847178971648
0,2,fused_current,2,4096,10,50,48.2709716796875,41.43276860618083
0,3,fused_current,2,4096,10,50,48.2754345703125,41.42893829546014
0,4,fused_current,2,4096,10,50,48.290087890625,41.41636694739332
0,0,fused_hadacore256,2,4096,10,50,48.3065576171875,41.40224637510496
0,1,fused_hadacore256,2,4096,10,50,48.3081689453125,41.4008653953353
0,2,fused_hadacore256,2,4096,10,50,48.3097509765625,41.3995096139142
0,3,fused_hadacore256,2,4096,10,50,48.3352392578125,41.377678702122836
0,4,fused_hadacore256,2,4096,10,50,48.2950146484375,41.4121419065499
