variant,batch,context_len,stage,category,total_ms_per_token,per_layer_ms,percent_of_stage_sum,stage_sum_ms_per_token,instrumented_ms_per_token,plain_ms_per_token,instrumentation_overhead_percent
unfused_INT4,1,128,down_proj_residual,projection,10.146335651477179,0.31707298910866183,7.7122966460554485,131.5604951044855,139.62942504882812,113.9019775390625,22.5873580649137
unfused_INT4,1,128,embedding_rotary_setup,other,0.17460066576798758,0.17460066576798758,0.13271511758094215,131.5604951044855,139.62942504882812,113.9019775390625,22.5873580649137
unfused_INT4,1,128,ffn_dequant,quantization,3.791235987097025,0.11847612459678203,2.881743477847222,131.5604951044855,139.62942504882812,113.9019775390625,22.5873580649137
unfused_INT4,1,128,ffn_unfused,quantization,8.379095335801443,0.2618467292437951,6.369005626762619,131.5604951044855,139.62942504882812,113.9019775390625,22.5873580649137
unfused_INT4,1,128,final_norm_lm_head,projection,1.8966636260350545,1.8966636260350545,1.4416665310728132,131.5604951044855,139.62942504882812,113.9019775390625,22.5873580649137
unfused_INT4,1,128,gate_proj,projection,11.253824601570765,0.3516820187990864,8.554106301160513,131.5604951044855,139.62942504882812,113.9019775390625,22.5873580649137
unfused_INT4,1,128,input_rmsnorm,norm_residual,1.1737976682682831,0.03668117713338385,0.8922113491105758,131.5604951044855,139.62942504882812,113.9019775390625,22.5873580649137
unfused_INT4,1,128,k1_unfused,quantization,36.93663430213928,1.1542698219418526,28.07577933847403,131.5604951044855,139.62942504882812,113.9019775390625,22.5873580649137
unfused_INT4,1,128,k2_cache_dequant,quantization,6.268048018217087,0.19587650056928396,4.7643846378344765,131.5604951044855,139.62942504882812,113.9019775390625,22.5873580649137
unfused_INT4,1,128,k2_fp16_decode,attention,0.9697366617619991,0.030304270680062473,0.7371032322368756,131.5604951044855,139.62942504882812,113.9019775390625,22.5873580649137
unfused_INT4,1,128,k3_dequant,quantization,5.127003965278466,0.16021887391495207,3.8970695277534437,131.5604951044855,139.62942504882812,113.9019775390625,22.5873580649137
unfused_INT4,1,128,k3_unfused,quantization,18.543749655286472,0.5794921767277023,14.095226413186575,131.5604951044855,139.62942504882812,113.9019775390625,22.5873580649137
unfused_INT4,1,128,k_proj,projection,1.454012009004752,0.0454378752813985,1.1052041175810214,131.5604951044855,139.62942504882812,113.9019775390625,22.5873580649137
unfused_INT4,1,128,o_proj_residual,projection,4.8861759925882025,0.15269299976838133,3.714014597396882,131.5604951044855,139.62942504882812,113.9019775390625,22.5873580649137
unfused_INT4,1,128,post_attention_rmsnorm,norm_residual,2.9408213247855506,0.09190066639954846,2.235337684348137,131.5604951044855,139.62942504882812,113.9019775390625,22.5873580649137
unfused_INT4,1,128,q_proj,projection,2.634270004928112,0.0823209376540035,2.0023260043495363,131.5604951044855,139.62942504882812,113.9019775390625,22.5873580649137
unfused_INT4,1,128,qkv_layout,projection,0.6843046656188866,0.021384520800590206,0.5201444894802281,131.5604951044855,139.62942504882812,113.9019775390625,22.5873580649137
unfused_INT4,1,128,rope,attention,4.106424664457639,0.1283257707643012,3.1213204702493034,131.5604951044855,139.62942504882812,113.9019775390625,22.5873580649137
unfused_INT4,1,128,up_proj,projection,8.389745642741522,0.26217955133567256,6.377100995308945,131.5604951044855,139.62942504882812,113.9019775390625,22.5873580649137
unfused_INT4,1,128,v_proj,projection,1.804014661659797,0.056375458176868655,1.3712434422104038,131.5604951044855,139.62942504882812,113.9019775390625,22.5873580649137
fused_current,1,128,down_proj_residual,projection,8.224701344966888,0.25702191703021526,14.104423510463345,58.3129210411571,104.5892842610677,41.23153940836588,153.6633018359885
fused_current,1,128,embedding_rotary_setup,other,0.15389633054534593,0.15389633054534593,0.2639146312645294,58.3129210411571,104.5892842610677,41.23153940836588,153.6633018359885
fused_current,1,128,ffn_dequant,quantization,1.9775950014591217,0.06179984379559755,3.3913495776748017,58.3129210411571,104.5892842610677,41.23153940836588,153.6633018359885
fused_current,1,128,ffn_fused,quantization,0.27937299975504476,0.008730406242345149,0.4790927889855905,58.3129210411571,104.5892842610677,41.23153940836588,153.6633018359885
fused_current,1,128,final_norm_lm_head,projection,1.8840466737747192,1.8840466737747192,3.230924879316137,58.3129210411571,104.5892842610677,41.23153940836588,153.6633018359885
fused_current,1,128,gate_proj,projection,10.094441692034403,0.3154513028760751,17.310814673320472,58.3129210411571,104.5892842610677,41.23153940836588,153.6633018359885
