batch,seq_len,ffn_hidden,variant,latency_ms
1,10,11008,fp16_baseline,2.230535316467285
1,10,11008,quarot_unfused,4.574723815917968
1,10,11008,fused_quarot,0.975986385345459
1,10,14336,fp16_baseline,1.1737839698791503
1,10,14336,quarot_unfused,4.348188781738282
1,10,14336,fused_quarot,1.0767844200134278
1,128,11008,fp16_baseline,1.1691273689270019
1,128,11008,quarot_unfused,7.043751525878906
1,128,11008,fused_quarot,0.9767262458801269
1,128,14336,fp16_baseline,1.149102020263672
1,128,14336,quarot_unfused,4.241586303710937
1,128,14336,fused_quarot,1.082320213317871
1,1024,11008,fp16_baseline,1.423813819885254
1,1024,11008,quarot_unfused,4.2286937713623045
1,1024,11008,fused_quarot,1.0058688163757323
1,1024,14336,fp16_baseline,1.2349756240844727
1,1024,14336,quarot_unfused,4.640919494628906
1,1024,14336,fused_quarot,1.1257264137268066
1,4096,11008,fp16_baseline,1.493612003326416
1,4096,11008,quarot_unfused,5.5421703338623045
1,4096,11008,fused_quarot,1.1766192436218261
1,4096,14336,fp16_baseline,1.5298686027526855
1,4096,14336,quarot_unfused,5.638607025146484
1,4096,14336,fused_quarot,1.2996224403381347
2,10,11008,fp16_baseline,1.053275966644287
2,10,11008,quarot_unfused,4.21484489440918
2,10,11008,fused_quarot,0.969722843170166
2,10,14336,fp16_baseline,1.1580127716064452
2,10,14336,quarot_unfused,4.239864730834961
2,10,14336,fused_quarot,1.0829290390014648
2,128,11008,fp16_baseline,1.063472366333008
2,128,11008,quarot_unfused,4.564352798461914
2,128,11008,fused_quarot,0.9779704093933106
2,128,14336,fp16_baseline,1.158067798614502
2,128,14336,quarot_unfused,4.2043609619140625
2,128,14336,fused_quarot,1.078335952758789
2,1024,11008,fp16_baseline,1.1358477592468261
2,1024,11008,quarot_unfused,4.5141143798828125
2,1024,11008,fused_quarot,1.0196306228637695
2,1024,14336,fp16_baseline,1.2747827529907227
2,1024,14336,quarot_unfused,6.199832916259766
2,1024,14336,fused_quarot,1.1311964035034179
2,4096,11008,fp16_baseline,1.5387195587158202
2,4096,11008,quarot_unfused,8.631232452392577
2,4096,11008,fused_quarot,1.192451572418213
2,4096,14336,fp16_baseline,1.5450497627258302
2,4096,14336,quarot_unfused,8.720111846923828
2,4096,14336,fused_quarot,1.3081275939941406
4,10,11008,fp16_baseline,1.1414073944091796
4,10,11008,quarot_unfused,5.437398147583008
4,10,11008,fused_quarot,1.1755022048950194
4,10,14336,fp16_baseline,1.2093210220336914
4,10,14336,quarot_unfused,4.9923664093017575
4,10,14336,fused_quarot,1.088796043395996
4,128,11008,fp16_baseline,1.1462648391723633
4,128,11008,quarot_unfused,4.332541656494141
4,128,11008,fused_quarot,0.9893453598022461
4,128,14336,fp16_baseline,1.2330821990966796
4,128,14336,quarot_unfused,4.469968795776367
4,128,14336,fused_quarot,1.094807243347168
4,1024,11008,fp16_baseline,1.154709243774414
4,1024,11008,quarot_unfused,5.249268341064453
4,1024,11008,fused_quarot,1.0360730171203614
4,1024,14336,fp16_baseline,1.2683950424194337
4,1024,14336,quarot_unfused,5.374718475341797
4,1024,14336,fused_quarot,1.1355223655700684
4,4096,11008,fp16_baseline,1.4897658348083496
4,4096,11008,quarot_unfused,14.783406066894532
4,4096,11008,fused_quarot,1.2097439765930176
4,4096,14336,fp16_baseline,1.599910831451416
4,4096,14336,quarot_unfused,14.837904357910157
4,4096,14336,fused_quarot,1.3182273864746095
8,10,11008,fp16_baseline,1.0838447570800782
8,10,11008,quarot_unfused,9.267578125
8,10,11008,fused_quarot,1.4696466445922851
8,10,14336,fp16_baseline,1.17846622467041
8,10,14336,quarot_unfused,4.228927230834961
8,10,14336,fused_quarot,1.1097142219543457
8,128,11008,fp16_baseline,1.0986209869384767
8,128,11008,quarot_unfused,4.210529708862305
8,128,11008,fused_quarot,1.0063586235046387
8,128,14336,fp16_baseline,1.2096232414245605
8,128,14336,quarot_unfused,4.244232177734375
8,128,14336,fused_quarot,1.115428638458252
8,1024,11008,fp16_baseline,1.4004859924316406
8,1024,11008,quarot_unfused,8.574819946289063
8,1024,11008,fused_quarot,1.0536277770996094
8,1024,14336,fp16_baseline,1.464909553527832
8,1024,14336,quarot_unfused,8.637372589111328
8,1024,14336,fused_quarot,1.1705727577209473
8,4096,11008,fp16_baseline,2.198151779174805
8,4096,11008,quarot_unfused,27.499508666992188
8,4096,11008,fused_quarot,1.2997340202331542
8,4096,14336,fp16_baseline,2.30340690612793
8,4096,14336,quarot_unfused,27.6052978515625
8,4096,14336,fused_quarot,1.3963253974914551
